Image URL,Credit,Caption,Alt text
start to finish tt.png,TinyTyra,start to finish,"A closed rectangle where the left side has a green edge, and the right side has a red edge. Inside it is a black arrow pointing rightwards."
transition tt.png,TinyTyra,transition,"The red edge of the 'Finish' symbol placed next to the green edge of the 'Start' symbol. They are both faded a little. A black arrow points right while crossing over both symbol parts, as if moving from one to the other."
during tt.png,TinyTyra,during,A rectangle where the left and right sides are both open. Inside is a black arrow pointing rightwards. Both behind and in front of it there are faded lines representing other arrows continuing outside view.
finish tt.png,TinyTyra,finish,"A rectangle where the left side is open, but the right side has a red edge. Inside it is a black arrow pointing rightwards. A faded line behind it represents another arrow being before it."
start tt.png,TinyTyra,start,"A rectangle where the left side has a green edge, but the right side is open. Inside it is a black arrow pointing rightwards. A faded line in front of it represents another arrow continuing forward outside view."
actions crows.png,Crows,actions,a red squiggly arrow.
acquire pheonix.png,Pheonix,acquire,"two yellow hands reaching for a purple square, the square has green triangle marks around it. There is a green arrow below the square."
abort pheonix.png,Pheonix,abort,a triangle warning sign in red with red haze behind it and dashed lines radiating from it
absorb.png,TalkSense,absorb,"a roll of paper towel, soaking up water droplets"
accomplish pheonix.png,Pheonix,accomplish,"A purple circle with a green check mark on it, and a bunch of sparkly things around it"
aim pheonix.png,Pheonix,aim,a sight with green triangle serving as an arrow at the top right
anchor verb.png,M,anchor,an anchor with a rock and seaweed. a red arrow points downwards at the anchor
add pheonix.png,Pheonix,add,1 blue dot a plus sign and then 6 blue dots.
attempt fractals.png,Fractals,attempt,a red person with their back to the viewer. their right arm is stretched above their head and they are writing something. They have began to complete the equation 1+2
attend pheonix 1.png,Pheonix,attend,"An image with dark line art shows two rows of elements, the first row is purple, the second blue. Each row has a white circle with a checkmark on it, a figure, and a set of 3 lines."
bite k9.png,K9,bite,a set of slightly sharp teeth with gold emphasis marks around them.
avoid fractals.png,Fractals,avoid,a torso drawing of a green person with pointy ears facing right. Their hand is out behind them with their palm facing a yellow triangle.
attend pheonix 2.png,Pheonix,attend,"An image with light line art shows two rows of elements, the first row is purple, the second blue. Each row has a black circle with a checkmark on it, a figure, and a set of 3 lines."
brushing teeth.png,Kip,brushing teeth,an emoji yellow person brushing their teeth
become vixen.png,Vixen,become,"a yellow ombre to blue spiral transitioning into a square at the end, there are two yellow lines extenuating the square."
begin fractals.png,Fractals,begin,"A drawing of a blue anthro dog. Their paw rests on a circular orange button with a green play symbol on it, and they are looking at the button."
broke.png,M,broke,"shards of clay pot on ground, with two still falling to the ground."
