Image URL,Credit,Caption,Alt text
adopt don't shop 1.png,Vixen,adopt don't shop,"a cartoon styled drawing of a cat and a dog. The cat is orange with white markings, and is smiling cheerfully. The dog, with brown and white fur, is also smiling and has its tongue sticking out playfully. Above them, a simplified  blue house with a pink heart inside."
all cops are bad m.png,M,ACAB / all cops are bad,a red 'x' with an orange bracket below it. in the bracket are two cartoon simplistic pig heads wearing blue caps.
apple doesn't fall far m.png,M,apple doesn't fall far from the tree,"an apple on the groud next to a tree. arow points down from tree to apple, and line shows the distance between the two, which is short"
are you upset m.png,M,are you upset?,a hand pointing to a figure. above the hand is a speech bubble with a sad face and a question mark
acab m.png,M,ACAB / all cops are bastards,"two golden circles with a broken orange line between them and red exclamation mark in the centre, and a bracket below them, representing unmarried parents. in the bracket are two cartoon simplistic pig heads wearing blue caps."
are you safe vixen m.png,Vixen & M,are you safe?,a green shield with a padlock on it and a red question mark next to it. the drawing has dark outlines
are you safe vixen.png,Vixen,are you safe?,a green shield with a padlock on it and a red question mark next to it.
adopt don't shop 2.png,Vixen,adopt don't shop,"a cartoon styled drawing of a cat and a dog. The cat is orange with white markings, and is smiling cheerfully. The dog, with brown and white fur, is also smiling and has its tongue sticking out playfully. Above them, a simplified  blue house with a pink heart inside. underneath there is digital styled text in blue that says 'adopt dont shop'"
ask again later lady.png,Lady,ask again later,a drawing of a magic 8 ball with the text displayed reading “ask again later”
anxiety is biting me.png,Esrah,anxiety is biting me,an annoyed person being bitten cartoonishly by a purple blob monster with curved red eyes and flushed blue.
are you sure dusty.png,Dusty,are you sure?,"A green person looking at a yellow person, who has a thought bubble with a green check and a red X inside. The green check is circled."
better or worse gillipop 1.png,Gillipop,better or worse,"a green up arrow, a yellow question mark and a red down arrow"
bold of you to assume gp.png,Gillipop,bold of you to assume,an emoji-yellow person with very think lineart thinking a speech bubble with a dot pointing to two overlapping dots. another emoji-yellow person with normal lineart looks at them with a suspicious/confused expression
art and stem are etc crows.png,Crows,art and stem are holding hands,"Two people holding hands, in one’s other hand they’re holding a pencil and the other’s holding a test tube. The one holding the test tube has a small sprout coming out of their head. The two are surrounded by several symbols including a star, crescent moon, division sign, and gear."
better or worse gillipop 2.png,Gillipop,better or worse,"a double sided diagonal arrow, the lower side is red and the higher is green in a gradient with yellow in the middle. next to it is a yellow question mark"
burn bridge.png,Gillipop,burn a bridge,a bridge in flames with a border
as you wish chrome.png,cytochrome-sea,as you wish,"image of a blue dog with a blank bandanna and mask looking sly. a speech bubble comes from its mouth with a tilde, a hand pointing at the viewer and a shooting star"
